GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog.spi,ServiceProviderLocator,8,0,0,0,3,0,3,0,3,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,SyntaxError,12,11,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractTerm,331,158,73,22,70,34,59,29,15,17
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractCompounds,86,195,30,38,16,63,21,33,0,20
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProgram,491,0,40,0,99,0,50,0,30,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArityError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ListExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause.BodyIterator,37,0,4,0,7,0,5,0,3,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologCallable,23,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultClauseBuilder,199,0,0,0,55,0,15,0,15,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine,378,9,36,0,80,4,54,2,36,2
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,IndicatorError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConverter,253,340,43,27,42,74,34,20,4,15
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,FunctorError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,UnknownTermError,0,13,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIndicator,13,81,7,7,5,21,6,8,0,7
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIterator,4,3,0,0,1,1,1,1,1,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractOperator,30,131,17,13,12,29,15,8,0,8
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngineFactory,67,184,18,16,17,36,13,19,2,13
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractBuilder,171,0,26,0,42,0,21,0,8,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause,396,0,64,0,85,0,61,0,29,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,Prolog,71,12,0,0,20,3,2,1,2,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine.PrologProgramIterator,53,0,2,0,13,0,5,0,4,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractLogger,72,3,0,0,22,1,11,1,11,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologRunnable,38,0,0,0,12,0,4,0,4,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologError,13,4,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngine,173,16,12,0,34,6,13,3,7,3
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConsole,525,61,44,2,126,16,25,3,2,3
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractQuery,210,21,22,0,54,7,32,5,21,5
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,CompoundExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,StructureExpectedError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractJavaConverter,456,47,89,4,84,8,62,3,11,2
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultQueryBuilder,133,0,0,0,34,0,11,0,11,0
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologQueryIterator,4,24,1,1,1,8,1,4,0,4
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArrayIterator,4,38,1,3,1,8,1,4,0,3
prolobjectlink-jpi-jekpro/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProvider,241,1071,22,6,54,152,35,17,22,16
