GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologLogger,121,0,8,0,25,0,8,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologConsole,12,0,0,0,4,0,2,0,2,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologFloat,88,0,0,0,13,0,12,0,12,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologFail,22,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologReference,33,0,0,0,7,0,6,0,6,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologAtom,32,0,0,0,8,0,6,0,6,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologEngine,1745,0,74,0,322,0,78,0,41,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologTerm,529,0,110,0,120,0,85,0,30,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologMap.PrologMapIterator,58,0,2,0,10,0,4,0,3,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologOperator,6,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologCut,22,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologConverter,770,0,105,0,144,0,67,0,8,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologProgram,10,0,0,0,3,0,2,0,2,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologQuery,774,0,82,0,173,0,58,0,17,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologList,303,0,18,0,58,0,25,0,16,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologScriptFactory,64,0,6,0,13,0,5,0,2,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologFalse,22,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologDouble,88,0,0,0,13,0,12,0,12,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologStructure,159,0,4,0,31,0,13,0,11,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologClauses,165,0,26,0,40,0,24,0,11,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologEntry,143,0,22,0,38,0,24,0,13,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologFormatter,181,0,18,0,44,0,11,0,2,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologNil,22,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologInteger,88,0,0,0,13,0,12,0,12,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologTrue,22,0,0,0,5,0,4,0,4,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologClause,38,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologMap,365,0,36,0,91,0,50,0,32,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekeProlog,427,0,10,0,87,0,45,0,40,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologIndicator,5,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologList.JekejekePrologListIter,63,0,8,0,12,0,7,0,3,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,TermVariable,111,0,14,0,32,0,18,0,11,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologVariable,78,0,0,0,19,0,12,0,12,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologLong,88,0,0,0,13,0,12,0,12,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologJavaConverter,4,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jekpro,io.github.prolobjectlink.prolog.jekpro,JekejekePrologEmpty,11,0,0,0,5,0,4,0,4,0
